"Protein"	"Organism"	"AA_1.Intensity"	"AA_2.Intensity"	"AA_3.Intensity"	"AB_1.Intensity"	"AB_2.Intensity"	"AG_1.Intensity"	"AG_2.Intensity"	"BA_1.Intensity"	"BA_2.Intensity"	"BA_3.Intensity"	"BB_2.Intensity"	"BB_3.Intensity"	"BG_1.Intensity"	"BG_2.Intensity"
"sp|A0PJW6|TM223_HUMAN"	"HUMAN"	58493.062	117460.11	54564.344	50779.664	62443.227	69935.77	152950.19	38104.934	0	105842.09	41077.074	37627.34	77283.516	54346.86
"sp|A1L020|MEX3A_HUMAN"	"HUMAN"	61928.613	0	50959.574	79395.13	41537.49	46169.066	38859.133	0	0	0	0	47725.965	0	0
"sp|A1L170|CA226_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	51812.71	0
"sp|A2RRP1|NBAS_HUMAN"	"HUMAN"	1943504.5	1957360.8	1994965.8	2206936.5	1676915.9	1923795.5	2026136.6	2301080.5	2087112.5	1927537.9	1933330.5	1983557.2	2147835.5	2077517.2
"sp|A2RTX5|SYTC2_HUMAN"	"HUMAN"	37515.668	37123.24	135079.5	58542.785	160824.94	36121.36	50995.95	33533.75	43880.965	53364.793	54922.94	49051.168	43585.06	47727.367
"sp|A2VDF0|FUCM_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A3KMH1|VWA8_HUMAN"	"HUMAN"	175053.16	215482.12	219699.6	164857.86	169572.06	177236.42	165127.53	184654.72	109686.72	61925.01	152327.48	214988.31	174161.64	134215.2
"sp|A3KN83|SBNO1_HUMAN"	"HUMAN"	1870364	1816749.2	2266457	2169466.5	1882898.6	1985125.1	1830029.5	2224362.2	1879028.8	2427474.2	2149671.2	2496973.8	2317622.5	2525429.8
"sp|A4D0V7|CPED1_HUMAN"	"HUMAN"	0	0	0	106383.59	0	0	0	0	0	80142.11	28913.406	110512.695	0	21793.938
"sp|A4D126|ISPD_HUMAN"	"HUMAN"	39859.492	27772.074	38139.66	25575.83	0	0	38841.168	35449.562	0	0	35328.766	0	0	0
"sp|A4D1E9|GTPBA_HUMAN"	"HUMAN"	1112899.1	1072628.5	1065069.6	1179511.2	1129924.6	1041687.5	1036212.75	1268740.8	1323084.1	1333583.5	1031666.1	1098652.9	1516418.8	1361336
"sp|A4D1P6|WDR91_HUMAN"	"HUMAN"	332540.12	323172.6	88049.766	270778.94	289275.03	294222.3	260590.47	265281.9	200652.2	119566.16	279752.84	128089.65	385609.4	286049.56
"sp|A4D1S0|KLRG2_HUMAN"	"HUMAN"	1705269.5	2551184.5	2896877.5	2153896.5	2777427.5	2729846	2805395	926370.2	1359138.6	1335617.6	1441559.6	1329561.6	1310149	1405678.4
"sp|A5D8V6|VP37C_HUMAN"	"HUMAN"	208253.47	316241.16	235972.45	286685.94	334983.25	311644.1	187089.02	292602.84	236601.44	255070.56	209514.67	177017.47	241556.27	185376.97
"sp|A5PL33|KRBA1_HUMAN"	"HUMAN"	0	0	0	0	0	0	16445.432	0	0	0	0	16696.074	0	0
"sp|A5PLN9|TPC13_HUMAN"	"HUMAN"	134748.27	290404.44	44502.695	0	0	142933.78	42291.477	145072.39	109976.54	0	224616.9	0	32631.557	0
"sp|A5YKK6|CNOT1_HUMAN"	"HUMAN"	8106505.5	8128696	8600071	9084454	9171478	9256433	8765146	9117631	9190052	9208844	9050742	9043170	8835118	9201210
"sp|A6NCE7|MP3B2_HUMAN"	"HUMAN"	596594.1	581422.44	565368.75	556535.4	506530.75	608374.9	591431.44	654988.5	767756.9	721479.25	557166.75	599075.06	635436	678958.4
"sp|A6NDG6|PGP_HUMAN"	"HUMAN"	1507054.8	1416515	1525747.1	1401856.1	1212061.2	1326942.1	1772922.2	1553266.8	1404960.5	1922010.9	1072595.8	1388517.1	1305765.2	1497866.9
"sp|A6NDU8|RIMC1_HUMAN"	"HUMAN"	1331667.5	1362247.2	1310527.6	1166891.6	1456976	1340198.8	1158110.9	1094038.2	1270496.5	1239267.1	1366424	1391571.4	1463577.1	1355895.4
"sp|A6NED2|RCCD1_HUMAN"	"HUMAN"	374242.88	352624.34	647769.4	357717.62	701622.4	629494.8	640566	418630.75	686563.1	763795.3	511082.25	439472.7	460003.9	780290.8
"sp|A6NFI3|ZN316_HUMAN"	"HUMAN"	473234.72	495131.66	570115	388625.6	506730.44	152861.31	233014.56	301446.94	257845.1	179235.69	721602.4	478162.56	540494.94	606397.75
"sp|A6NFQ2|TCAF2_HUMAN"	"HUMAN"	33628.004	0	81066.25	173357.38	171591.45	33722.676	49157.3	160106.69	111470.17	133075.3	87028.14	0	0	15986.046
"sp|A6NGB9|WIPF3_HUMAN"	"HUMAN"	0	0	0	0	0	50427.008	0	49597.47	0	0	70116.03	0	56127.113	0
"sp|A6NHL2|TBAL3_HUMAN"	"HUMAN"	2160896	1835734.1	2576216	1944277.5	2126084	2204882.8	2066133.4	2062262.1	2163891.2	2567597	1830124.4	1850095.8	2358073.2	2258653
"sp|A6NHR9|SMHD1_HUMAN"	"HUMAN"	11146474	10221682	9811251	12134590	11811445	10726373	11872792	11374885	10631977	11065677	10876937	10343472	11669187	10464509
"sp|A6NHX0|CAST2_HUMAN"	"HUMAN"	11267.219	23173.143	0	30974.52	32256.666	0	37407.08	0	0	0	0	35508.29	0	0
"sp|A6NIH7|U119B_HUMAN"	"HUMAN"	168009.78	152273.73	147917.7	137730	67861.336	66707.01	134322.47	140688.2	79012.56	133819.56	82313.82	153750.34	65860.7	151005.1
"sp|A6NJ78|MET15_HUMAN"	"HUMAN"	290810.53	330249.72	317686.03	305653.12	280521.5	261420.73	330822.94	186894.28	207612.03	199464.16	324473.56	348697.5	297993.5	443823.56
"sp|A6NKD9|CC85C_HUMAN"	"HUMAN"	153215.08	143080.58	115263.336	105034.695	143122.56	164641.86	0	129723.52	152527.11	174263.94	172372.03	22644.809	105102.49	24069.156
"sp|A6NNZ2|TBB8B_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A7E2V4|ZSWM8_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	22756.97	0	0	0
"sp|A7MCY6|TBKB1_HUMAN"	"HUMAN"	0	0	38188.69	0	0	0	0	210606.55	0	29960.867	0	0	0	0
"sp|A8CG34|P121C_HUMAN"	"HUMAN"	556723.3	500688.88	577347.7	572580.94	541518.1	561323.5	535091.56	811936.9	674187.94	720897.94	739508.25	1043962.25	557522.7	730814.6
"sp|A8MPP1|D11L8_HUMAN"	"HUMAN"	42399.742	27603.799	0	63520.703	0	0	45942.277	0	37942.625	21424.488	49316.92	46380.836	71531.984	42903.977
"sp|A8MPS7|YDJC_HUMAN"	"HUMAN"	752322.94	570102.4	672417.3	763582	705008.2	735053.06	942407.56	931897.4	1145476.6	1180141.1	486948.22	710847.75	844110.8	947078.6
"sp|A8MW92|P20L1_HUMAN"	"HUMAN"	0	0	0	40712.85	0	68973.56	0	48656.137	0	39109.145	0	64623.875	66018.9	55040.562
"sp|A8MWD9|RUXGL_HUMAN"	"HUMAN"	1140549.6	791109.4	839754.1	802001.75	687921.94	713359.94	671832.5	1423836.1	1205900.1	1079891.8	822007.4	748447.7	953397.7	822354.7
"sp|A8MXV4|NUD19_HUMAN"	"HUMAN"	398753.25	530999.8	409084.75	580559.06	730425.6	629643.94	633166.75	576185.5	361601.44	402825.72	704764.44	788775.9	771884.75	440284.1
"sp|A9UHW6|MI4GD_HUMAN"	"HUMAN"	194330.22	241832.4	233070.28	144937.22	63481.3	144788.22	34719.633	142149.64	195311.86	149676.44	168785.02	221043.97	134459.02	133992.84
"sp|B2RTY4|MYO9A_HUMAN"	"HUMAN"	127535.05	148175.53	112129.12	194851	170379.6	89856.945	129055.82	85614.37	85277.266	99940.75	184803.12	71035.72	291406.12	116345.625
"sp|B2RUZ4|SMIM1_HUMAN"	"HUMAN"	266320.62	227979.1	262235.66	289121.7	274326.44	264484.78	257620.58	317959.7	319840.8	343718.7	258296.56	284175.94	412292.34	289170.53
"sp|B6A8C7|TARM1_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	93135.04	104093.56	109743.96	65819.83	0	75374.61	0
"sp|B7ZAP0|RBG10_HUMAN"	"HUMAN"	0	0	0	0	0	230584.69	0	244746.16	0	0	0	0	45210.035	0
"sp|C9J7I0|UMAD1_HUMAN"	"HUMAN"	0	73845.32	0	56027.777	206645.06	54782.707	0	0	0	0	44972.02	0	0	77189.805
"sp|C9JLW8|MCRI1_HUMAN"	"HUMAN"	1192461.8	1316160.8	1381479.8	1256724.4	1307724.1	1479628.1	1218620.1	1098700.6	1242722.2	1087973.5	945027.4	991199.25	1084499	1052618.6
"sp|C9JVW0|INAM1_HUMAN"	"HUMAN"	0	27550.553	25616.23	19310.666	0	22869.242	0	0	0	0	28285.46	27291.365	0	0
"sp|E9PAV3|NACAM_HUMAN"	"HUMAN"	9622758	11418259	10420632	12622736	11024374	10436922	10853342	13340411	13321833	12188702	11353208	10462330	12209784	11685553
"sp|E9PRG8|CK098_HUMAN"	"HUMAN"	1073718.2	897500.25	954771.5	1047890.25	985867.5	986620.6	1014973.2	1054579.2	959876.5	952176.2	976121.7	938962.06	1026628.7	998648.1
"sp|G9CGD6|CNIPF_HUMAN"	"HUMAN"	522993.78	0	552059.94	482915.75	544881.75	537845	536107.8	0	0	93370.04	79822.85	0	434438	0
"sp|L0R6Q1|S35U4_HUMAN"	"HUMAN"	342515.7	328690.88	317347.03	393929.8	381611.38	378709.38	356107.97	320467.25	278069.22	319600.66	349386.5	357977.66	295950.66	332596.1
"sp|L0R819|ASURF_HUMAN"	"HUMAN"	161987.38	0	32637.686	133991.05	85960.18	119821.67	132084	140017.28	34985.67	93239.74	40391.508	97366.59	93660.58	101195.87
"sp|L0R8F8|MIDUO_HUMAN"	"HUMAN"	91187.164	175817.19	42918.61	58237.277	70645.055	16662.691	56426.78	103392.54	221041.22	209374.72	249547.1	123176.44	348890.1	217110.06
"sp|O00115|DNS2A_HUMAN"	"HUMAN"	73786.055	58168.746	81223.016	0	42226.918	42711.613	0	138881.69	42463.16	0	91107.09	89150.75	80663.195	0
"sp|O00116|ADAS_HUMAN"	"HUMAN"	6437862.5	6537497.5	6745424	6172302	6042598.5	6702038.5	6278957.5	6489148	6818676	7244155	6543082	6582149	6437265	6353462
"sp|O00124|UBXN8_HUMAN"	"HUMAN"	28050.559	0	0	0	0	0	0	0	42505.11	0	0	0	0	0
"sp|O00139|KIF2A_HUMAN"	"HUMAN"	1829617.5	2035828.6	2121541.2	1986823.4	1994227.2	2021181.6	2033122.2	2115981.2	2392948.2	2318931.8	1954468.1	2616467.5	2167277.8	2169402.2
"sp|O00148|DX39A_HUMAN"	"HUMAN"	10005526	10303332	9696715	9731159	10262408	11382201	9939588	10703052	10596228	9690772	9896196	9548991	9558364	10163373
"sp|O00151|PDLI1_HUMAN"	"HUMAN"	8134748	7336378.5	7307272.5	7227028.5	7058383.5	7461745	7351903.5	9109043	8532332	8588719	7710180.5	7781085.5	7815441	7838968
"sp|O00154|BACH_HUMAN"	"HUMAN"	3365848.8	3366395	3157079	3275247	2989005	3550273.2	3329274.5	3107161.2	3803317	3628913.5	3545454	3551719.2	2740014	3013805.8
"sp|O00159|MYO1C_HUMAN"	"HUMAN"	213093	222242.4	181142.19	1062696	183941.61	155611.16	196329.2	365420.25	171176.23	224119.5	182898.58	218911.38	256723.6	667631.75
"sp|O00161|SNP23_HUMAN"	"HUMAN"	2887798.8	3482610.2	2631024.5	2902535	3512877	2342299.5	3521896.2	3776699.5	4158957	3644422	2404357	3260905.8	3091738.2	3529256
"sp|O00165|HAX1_HUMAN"	"HUMAN"	999386.6	872538.75	805674.7	1116061	1016096.56	971300.25	1035244	1143044.8	1103363.4	1156895.2	886671.94	1073657.2	1108901.6	1006749.44
"sp|O00170|AIP_HUMAN"	"HUMAN"	2932331.2	3060029.2	3132507.8	2928921.8	2964345.5	3024014.8	3127344	3201131	3183147.2	3101999	3350909.8	3122770	3262179.5	3097254.5
"sp|O00178|GTPB1_HUMAN"	"HUMAN"	2344530.5	2109369	2740372.5	2421159.5	2104159	3001913.2	1833386.4	2239285	2707671.8	2559536.5	2585231	2535841.2	3283645	2638172.8
"sp|O00186|STXB3_HUMAN"	"HUMAN"	755452.6	599627.44	823769.75	768214.6	1067759.4	975384.44	940526.94	969095.44	793047.4	954868.3	731283.1	733169.3	796771.94	698742.1
"sp|O00192|ARVC_HUMAN"	"HUMAN"	88031.17	100587.2	94219.48	0	62973.098	83161.19	0	51269.766	110911.7	158575.05	186499.1	32391.379	180673.5	117942.38
"sp|O00193|SMAP_HUMAN"	"HUMAN"	2356288.5	2914135	2571244.8	2813564.5	2715154.2	2753096.2	2671308.8	2993407.8	2868468.2	2921586.2	2651079.2	2620157	2949645.2	2771995
"sp|O00203|AP3B1_HUMAN"	"HUMAN"	2205227.8	1875537.2	2180136.2	2010177.1	2459101.8	2057856.1	1929602.9	2624998.2	2227460.8	2086543.1	2240197.2	1878269.5	2338412	2333831.2
"sp|O00214|LEG8_HUMAN"	"HUMAN"	228569.58	284646.88	202759.95	281678.25	69036.52	269804.47	303813.56	235855.12	253838.16	245952.89	230486.8	260254.83	268525.1	223111.58
"sp|O00217|NDUS8_HUMAN"	"HUMAN"	1658589.4	1839227.1	1681480	1593855.1	1721787.2	1624587	2076970.2	2110517.8	2019753.2	2149616	1980147.8	2044861.2	1729002.8	2059610.8
"sp|O00220|TR10A_HUMAN"	"HUMAN"	44057.51	40589.53	14436.494	0	0	57265.223	83864.234	85719.72	74255.83	94308.555	97301.24	78404.555	123217.38	63307.11
"sp|O00221|IKBE_HUMAN"	"HUMAN"	80590.336	179279.27	101020.625	243997.5	81079.766	151734.16	206256.62	220098.28	118519.6	208290.06	212471.75	196707.97	210275.9	198908.94
"sp|O00231|PSD11_HUMAN"	"HUMAN"	11888263	11132501	9975441	12097649	11274846	12228032	11388209	13483614	13026998	12285080	11357390	11236950	12110923	10308175
"sp|O00232|PSD12_HUMAN"	"HUMAN"	4872935.5	6144231	5421348	5854907.5	5164879.5	5555038.5	5647587.5	6427908	5744070.5	5543429.5	4808798	4778032.5	6476829	6100952.5
"sp|O00233|PSMD9_HUMAN"	"HUMAN"	952737	954193.4	958021.44	1080513.2	946604.4	884184.9	986413.4	1297196.6	1300614	1451092	1127536.9	1191660.9	1124186.9	1247877
"sp|O00244|ATOX1_HUMAN"	"HUMAN"	1336540.5	1281569.2	1342960.5	1583934.1	1280400.2	1562228.5	1328411	1553764.1	1659187.8	1676535.8	1497495.2	1433355.9	1471390.8	1396127.2
"sp|O00255|MEN1_HUMAN"	"HUMAN"	99901.4	227438.14	154821.3	221983.48	159056.88	235123.73	317223.56	322921.2	307851.28	233153.12	264988.44	180386.89	191670.56	212529.5
"sp|O00257|CBX4_HUMAN"	"HUMAN"	0	215402.8	0	166147.08	138072.47	184241.6	400592.44	0	72887.305	0	0	115704.195	0	0
"sp|O00264|PGRC1_HUMAN"	"HUMAN"	381293.94	520996.22	535564.5	660021.6	532109.1	786240.6	570913.75	559240.1	578889.44	614966.94	676179.4	497691.12	570337.56	535410.7
"sp|O00267|SPT5H_HUMAN"	"HUMAN"	5627377.5	6054759	5668016.5	5877955	5874304.5	5871341	5847710.5	7029949.5	6820409.5	6943653.5	6421311.5	6251433.5	6450190.5	6420189.5
"sp|O00268|TAF4_HUMAN"	"HUMAN"	356687.25	416343.47	432543.62	431291.6	467792.75	431407.25	392284.38	261026.17	398812.7	472884.47	499220.8	348796.8	444729.06	362738.06
"sp|O00273|DFFA_HUMAN"	"HUMAN"	1958672.2	1890647.4	1721005.5	2033679.2	1822596.9	1896808.2	1989583.4	2078861.9	1996915.9	1835409.5	1697905.8	1783328.1	1926408.1	1839103.9
"sp|O00287|RFXAP_HUMAN"	"HUMAN"	120403.36	141677.03	117215.28	143513.69	130389.34	125111.31	123846.875	130250.41	138935	140342.88	127245.32	127271.94	125269.33	133958.61
"sp|O00291|HIP1_HUMAN"	"HUMAN"	328936.12	1832073	240658.5	338628.78	293750.2	1942944.2	327574.75	378196.78	2367781.5	2283110.8	320312.5	1940653.2	2004634.5	2092727.8
"sp|O00299|CLIC1_HUMAN"	"HUMAN"	67379990	65918070	70045304	66544784	63042856	68776580	62998036	81747960	82277130	81731290	67874480	69988070	76732216	76272450
"sp|O00303|EIF3F_HUMAN"	"HUMAN"	3557839	3464802.8	3340800.8	3859222.5	3584220.2	3895988.5	3478916.2	4405612	3931698	3598728.2	3705677.2	3616354.5	4299075.5	3834536.2
"sp|O00308|WWP2_HUMAN"	"HUMAN"	136929.22	140747.47	154407.22	136179.42	119733.07	92848.64	125662.81	161921.52	78608.67	153079.36	140379.3	103522.234	160258.8	140785.38
"sp|O00311|CDC7_HUMAN"	"HUMAN"	181446.78	209562.38	230107.66	211914.22	309735.4	217629.69	275106.84	245034.17	244195.31	251263.48	244104.67	277401.47	272001.66	239670.5
"sp|O00330|ODPX_HUMAN"	"HUMAN"	1684462.6	1529657.4	1199177.9	1618764	1127552.5	416681.06	180141.67	395347.6	451531.28	367822.44	259031.1	1185353.4	330629.25	201391.94
"sp|O00399|DCTN6_HUMAN"	"HUMAN"	712092.2	788582	661160.44	607949.4	739931.7	739031.25	640004.4	778352.06	701609	739089.3	847774.3	677852.2	777096.9	730592.7
"sp|O00401|WASL_HUMAN"	"HUMAN"	115635.39	149297.78	72878.84	234756.66	155333.88	135656.56	85671.78	193048.75	83617.67	0	131537.28	0	165837.83	123713.47
"sp|O00410|IPO5_HUMAN"	"HUMAN"	22251320	23960736	23349054	23250152	24460956	23434376	23785314	24992204	25966398	24038874	25088036	22083510	23733002	23085040
"sp|O00411|RPOM_HUMAN"	"HUMAN"	1797986	1813077.9	1600068.1	1760953.1	1407087	1569571.6	1704823.6	1887548.9	1451282	1613337.5	1713640.5	1675191.4	1613273.6	1627758.9
"sp|O00418|EF2K_HUMAN"	"HUMAN"	1499898	1625101.6	1743542.8	4646434.5	1573714.2	1569186	1484582.6	1649919	1561120.2	1593327.8	1561321.4	1450024.2	1484523.4	1649334.9
"sp|O00422|SAP18_HUMAN"	"HUMAN"	3169566	3240502.2	3183799.8	2796927	3008155.8	3428343.8	3134749.5	3989491	3911001	3644049.5	3761528.8	3577323.2	3679312.2	3562622.8
"sp|O00425|IF2B3_HUMAN"	"HUMAN"	7239597	7164771	7738937.5	6763433.5	7364448	6804431.5	7656604.5	7849816.5	8361828	8708791	7480591.5	7956134.5	7916989.5	7718251
"sp|O00429|DNM1L_HUMAN"	"HUMAN"	6838452	6667264.5	7731550.5	6874416.5	6394435	6891136	6512062.5	7422671.5	7891788.5	7843136	7033263.5	7479169	7168895.5	7329545
"sp|O00442|RTCA_HUMAN"	"HUMAN"	1523414.8	1331407.1	1460953	1700162.2	1481971.5	1721581.2	1509924.5	1646135.4	1478168	1287798.1	1284690.5	1555662.8	1345500.6	1403015.5
"sp|O00443|P3C2A_HUMAN"	"HUMAN"	8427883	9509958	8344834.5	8384196	8115862	8774235	7682847.5	5329989.5	5599047.5	5411449	4970620.5	3550927	5371902.5	5108685
"sp|O00458|IFRD1_HUMAN"	"HUMAN"	0	129450.99	161148.73	154245.45	168705.36	117840.16	90906.12	0	72481.805	122223.14	103259.64	113417.766	78250.37	16243.04
"sp|O00459|P85B_HUMAN"	"HUMAN"	794831.6	331149	690150.1	449355.97	270698.3	577257.4	688807.94	554520.44	565611	899610	631759.06	439779.44	622468.56	702971.6
"sp|O00461|GOLI4_HUMAN"	"HUMAN"	767635.6	510560.62	492118.8	794948.7	596335.44	647115.44	447861.6	631757.8	719219.7	632584.94	702182.9	673668.25	691857.44	668165.7
"sp|O00468|AGRIN_HUMAN"	"HUMAN"	470937.72	0	99063.12	0	0	509576.6	539441.2	0	0	402817.47	398816.44	416576.72	0	379425.1
"sp|O00470|MEIS1_HUMAN"	"HUMAN"	28169.238	56226.547	0	22899.223	44470.484	40338.734	48538.746	43329.88	0	50780.71	44290.1	0	43486.363	0
"sp|O00471|EXOC5_HUMAN"	"HUMAN"	2033044.1	1941336.9	1964372.1	2248321.5	2180316	2078854.8	2003993.9	1982677	1956267.8	1937417.4	2121152.5	1976833.2	1902092.8	2226910.8
"sp|O00483|NDUA4_HUMAN"	"HUMAN"	783391.6	807917.9	659725.06	621088.4	656125.6	679109.6	630910.75	770982.5	816099.1	708439.7	713462.1	719010.5	597899.3	644090.9
"sp|O00487|PSDE_HUMAN"	"HUMAN"	5756061.5	5662001	5793322	6008056	5771040	5646897.5	5657276.5	5951187.5	5896821	5666862	5812135	6075809.5	5765286	5843928.5
"sp|O00488|ZN593_HUMAN"	"HUMAN"	306459.1	237276.2	217357.66	222308.67	227372.88	225432.95	236191.44	215380.81	267526.12	295606.53	319953	580538.94	285500.7	137007.66
"sp|O00505|IMA4_HUMAN"	"HUMAN"	2604676.5	2746586	2533006.8	2545391.2	2625492	2511060.2	2568869.2	3325674.5	3109771.2	2871392.2	2564597	2501539.2	2896197.5	2454854
"sp|O00506|STK25_HUMAN"	"HUMAN"	0	0	64502.105	0	0	0	0	0	71837.6	106030.09	53670.13	63172.227	0	87559.2
"sp|O00507|USP9Y_HUMAN"	"HUMAN"	0	161148.33	181116.47	0	0	151051.42	0	210561.3	253489.97	235247.78	0	146186.19	0	0
"sp|O00541|PESC_HUMAN"	"HUMAN"	2723511.2	3025462.2	2909813	3021789.2	2940959.2	2846960.8	3017326	3069245.2	3093278.8	3132211.2	3012417.8	2905966	2878857.2	3133153.5
"sp|O00559|RCAS1_HUMAN"	"HUMAN"	218308.52	212879.66	212194	202851.62	108322.695	179370.14	83610.7	168838.22	211161.31	270228.4	172937.08	95372.086	207028.1	242940.53
"sp|O00560|SDCB1_HUMAN"	"HUMAN"	1506898.1	1665934.2	1724743.4	1613448.1	1518172.8	1591496.2	1425423.9	1789734.4	1670702	1593761.5	1464626.6	1522180.2	1822948.2	1600865.4
"sp|O00566|MPP10_HUMAN"	"HUMAN"	7329232	6539675	7299883	7575384.5	6915147.5	6792899	7438346.5	6931105	6900088.5	7292327	6942124.5	7240004	6194076.5	7463591
"sp|O00567|NOP56_HUMAN"	"HUMAN"	2215476.2	2352557.5	2307464.2	2191742.8	2328001.5	2497524.5	2374727.8	3022965	3025713.8	2589807.8	2510100	2454242.2	2571714.2	2453901.5
"sp|O00571|DDX3X_HUMAN"	"HUMAN"	25637902	25217210	25078856	26415152	26353382	26386178	25295974	25938736	25525234	22102698	22655476	22533112	24023996	24033600
"sp|O00584|RNT2_HUMAN"	"HUMAN"	1209857.6	837347.2	962713.6	1146114.4	914575.9	1027920.3	905633.75	999589.75	1341508.2	1410518.6	1426262.8	1372604.9	1325467	1378680.5
"sp|O00625|PIR_HUMAN"	"HUMAN"	270164.12	154921.66	214824.34	308706.5	218974.4	226679.25	112574.59	303769.97	339020.47	231976.66	247525.42	225766.17	321734.38	215068.84
"sp|O00628|PEX7_HUMAN"	"HUMAN"	53738.715	0	182715.69	63559.31	0	69383.305	0	59558.984	81121.99	0	61590.836	188499.9	67143.766	44354.754
"sp|O00629|IMA3_HUMAN"	"HUMAN"	6850512.5	6336091.5	5401368.5	7273254	6061222.5	6780241.5	5440782	6924656.5	6173322	5471936	5663751.5	5211278.5	6639595.5	5940461
"sp|O00635|TRI38_HUMAN"	"HUMAN"	36012.402	390065.3	96633.22	47929.33	46503.3	53777.906	38043.94	45836.22	49901.406	47796.953	73201.875	51888.18	116938.83	123237.516
"sp|O00716|E2F3_HUMAN"	"HUMAN"	69357.76	112589.88	103855.34	134222.88	101440.305	128906.805	102423.94	218924.05	279728.97	171343.53	168197.27	99324.59	212164.97	95610.81
"sp|O00743|PPP6_HUMAN"	"HUMAN"	753623.94	705860.75	825950.5	365834.06	486793.28	471802.03	468326.66	917890.7	756021.25	932486.25	716411.75	510017	425274.2	654766.4
"sp|O00754|MA2B1_HUMAN"	"HUMAN"	176917.77	111785.266	118503.9	164056.16	119064.266	630473.5	699516.9	255142.86	140873.27	137587.98	134868.25	573478.3	210397.25	175464.53
"sp|O00764|PDXK_HUMAN"	"HUMAN"	4771872	3922703.8	3321162.2	4919859	3947623.2	4759680	3356992.5	4617786.5	3641775	3583746	3730279.5	3179313	4394347	3921228.8
"sp|O00767|SCD_HUMAN"	"HUMAN"	66264.64	84002.01	109719.91	107099.36	95077.164	83980.97	83625.484	80077.125	146144.75	78232.06	76618.76	92136.695	76750.2	79418.41
