"Protein"	"Organism"	"AA_1.Intensity"	"AA_2.Intensity"	"AA_3.Intensity"	"AA_4.Intensity"	"AB_1.Intensity"	"AB_2.Intensity"	"AB_3.Intensity"	"AB_4.Intensity"	"AG_1.Intensity"	"AG_2.Intensity"	"AG_3.Intensity"	"AG_4.Intensity"	"BA_1.Intensity"	"BA_2.Intensity"	"BA_3.Intensity"	"BA_4.Intensity"	"BB_1.Intensity"	"BB_2.Intensity"	"BB_3.Intensity"	"BB_4.Intensity"	"BG_1.Intensity"	"BG_2.Intensity"	"BG_3.Intensity"	"BG_4.Intensity"
"sp|A2RRP1|NBAS_HUMAN"	"HUMAN"	59379730	73086400	52377896	96882210	113806616	76912776	415165400	68389310	79072680	106988264	94329790	74381304	155140800	93323380	157830610	137274320	161946750	220440780	59458932	605028100	117961710	165134180	87038620	88778840
"sp|A2RTX5|SYTC2_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225354340	0	0	0	0	0	0
"sp|A3KN83|SBNO1_HUMAN"	"HUMAN"	122830430	122655850	35591056	205878580	406498180	428339100	296195900	530650620	131554950	171250820	439748540	221839310	278766080	290289500	126124670	282304900	269858940	111629656	262753260	263014620	210321800	119771260	107164560	155198560
"sp|A4D126|ISPD_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	1165800.1	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A4D1E9|GTPBA_HUMAN"	"HUMAN"	77114744	67391450	98077710	72541464	88146520	101176730	119579224	71823224	40249136	34205490	82934456	38243970	191397390	57405216	156147900	66141036	118315760	67634530	124858790	43979060	32913704	74232220	124780720	92302060
"sp|A4D1P6|WDR91_HUMAN"	"HUMAN"	0	5909554	0	0	10640610	0	0	1700276.5	0	6024462	0	0	0	0	0	0	51592920	7867026	0	0	4214471	4523649.5	0	0
"sp|A5D8V6|VP37C_HUMAN"	"HUMAN"	80183620	47833948	0	96297020	91832776	72662664	0	0	91665600	1435703.5	0	0	91101300	63941668	80852690	0	0	42128060	45244876	0	56015116	2646501.8	81989960	0
"sp|A5PLN9|TPC13_HUMAN"	"HUMAN"	0	0	22871234	0	29607616	0	29092226	0	30168458	0	0	0	0	12969853	16672958	0	0	17845160	15843413	0	11660888	12467767	16302149	0
"sp|A5YKK6|CNOT1_HUMAN"	"HUMAN"	1191585700	844582000	974073200	1178464100	962129540	1167139700	767132300	1917536600	853682900	913059900	956857340	1267300600	1627344100	1179524100	1343907300	1541002100	1261607600	1071467000	1201472900	1011670850	964873200	1041919000	1484127000	1032318800
"sp|A6NC98|CC88B_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	31789608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A6NCE7|MP3B2_HUMAN"	"HUMAN"	341643970	357389500	324905730	341507400	333425920	294045380	333469150	345430850	305650880	337724670	375702270	353741700	355760320	325654530	306568300	356246080	331183870	190581620	346700100	350080000	288295300	295289660	326839000	217635730
"sp|A6NDG6|PGP_HUMAN"	"HUMAN"	838154800	653208300	949916160	839204350	894195700	829943600	952641660	761980540	1292302600	622279800	1768065300	676728600	1075632500	905893800	919936060	1364734200	741482200	836797200	711071100	1054595700	566560400	815658100	1204919800	611682370
"sp|A6NDU8|RIMC1_HUMAN"	"HUMAN"	17698718	27071816	116799350	56553240	0	45376560	43283884	70605510	2935638.5	6696804	38584580	122268460	12828743	44257944	15672690	86558370	38582176	57007580	64409070	137016210	0	50699676	18332964	138724370
"sp|A6NED2|RCCD1_HUMAN"	"HUMAN"	0	0	98260664	0	0	0	0	0	0	0	0	0	12695449	0	0	13954699	0	0	0	0	13560826	35451080	0	16039158
"sp|A6NFI3|ZN316_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	11753211	0	0	0	0	0	0	0	6717348	3545106.2	0	0	0	0	0	0
"sp|A6NGK3|GAG10_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A6NHL2|TBAL3_HUMAN"	"HUMAN"	104584510	208468930	948887550	189590510	174658290	204979280	835553000	301848030	222111490	260575220	532917400	327147970	250561220	241484030	848687700	200772340	256265550	315443260	286364740	508473950	192670960	220633700	271157800	341226660
"sp|A6NHR9|SMHD1_HUMAN"	"HUMAN"	2552358400	2649314000	2458045400	2511518700	3155262500	2727156500	2744874500	2470824200	2906257000	2152925200	2527576600	2072631000	3571787800	2618619000	3346523000	2689685500	2442194000	2580542200	2375950000	2342240300	2927010800	2671332600	2397994500	2314003700
"sp|A6NJ78|MET15_HUMAN"	"HUMAN"	8455525	6612034	11515126	8413281	5721804	8996925	0	9805780	0	9343193	0	0	0	8055034.5	7842689	8625781	6397502.5	18010014	8825937	6930027.5	0	9265847	9628554	8921240
"sp|A8CG34|P121C_HUMAN"	"HUMAN"	27394428	0	99176290	7660857.5	27383936	14808645	120455730	45854730	49539868	103992880	92914180	57265690	45712132	14050338	103925500	59640580	17461576	23581376	23183196	34476390	58612680	46756160	13425820	50119464
"sp|A8MPS7|YDJC_HUMAN"	"HUMAN"	34763388	22013484	33365040	0	28755406	25058544	32033506	0	21374560	35498436	0	34331280	39663010	26534846	53608570	45768850	27623954	28335866	41670970	52900944	19036456	38684784	13472912	19130220
"sp|A8MT69|CENPX_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10503997	0	0	0	0	0	0
"sp|A8MW92|P20L1_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|A8MWD9|RUXGL_HUMAN"	"HUMAN"	3113870600	2224860000	3328395800	3208670700	2667878100	5158195000	3717445400	2995256800	3987857400	5040289300	3258031000	3183483100	4449591000	4650409000	3208889900	3350069200	2347133000	3585667300	3266145500	3247192000	3080677600	4324751000	3373658600	3394231800
"sp|A8MXV4|NUD19_HUMAN"	"HUMAN"	59672430	37423564	45357070	28535476	56118640	0	31029700	16567176	74488020	33914204	46075990	0	23959288	215441780	105602664	48608824	116862820	74470890	29870810	0	71729540	73867220	101493860	27788648
"sp|B2RUZ4|SMIM1_HUMAN"	"HUMAN"	55582770	57034084	38203420	35100212	45688036	55441696	43636596	34346576	44609348	32421306	38276932	0	51235772	42517144	34904330	42735612	39384668	40312350	23284018	23245818	0	38820836	0	0
"sp|B3EWF7|EP2A2_HUMAN"	"HUMAN"	0	5553070.5	0	0	27611588	13340950	33022448	0	8579204	12231817	21807906	0	15907502	0	0	0	0	0	0	33635650	0	14230640	16692342	33650010
"sp|B9A064|IGLL5_HUMAN"	"HUMAN"	0	0	0	0	0	18571122	0	0	0	0	0	0	0	0	0	0	0	0	0	36100668	0	0	0	0
"sp|C9J7I0|UMAD1_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	8327988	16651684	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|C9JLW8|MCRI1_HUMAN"	"HUMAN"	100849200	94881610	127037600	43971460	39962724	24224996	67218380	26253704	86769784	0	27220814	18129552	144218460	156343600	117243620	28976326	49840510	31993402	74907540	31131500	90558856	62395228	30496070	24603776
"sp|E9PAV3|NACAM_HUMAN"	"HUMAN"	7292159500	7214756000	7399875600	7822271500	7810334700	8305460700	7458923000	7940345300	7558017000	8479799300	7317465600	7909275600	10325005000	8270684700	8406262300	7939570700	7824951000	8309149000	8048838700	7302777000	7516101000	8228886000	8204744000	7726081000
"sp|E9PRG8|CK098_HUMAN"	"HUMAN"	270970020	210701400	243856540	102714650	125332664	117373980	234341980	212506200	114796560	226838560	136458940	101389990	271743330	238272420	230693470	94668640	98213380	235071460	118092750	260085280	232408930	229180800	199520100	253433090
"sp|L0R6Q1|S35U4_HUMAN"	"HUMAN"	112165460	74311720	78909544	79998216	120315000	76835300	124793700	79214170	79667770	125716310	83186570	80044010	157634020	78404070	79430360	80199920	127221400	164093470	84613510	117271140	79363690	115036780	86361380	247564400
"sp|L0R819|ASURF_HUMAN"	"HUMAN"	0	63905390	0	0	90769070	0	9711757	9647622	0	5229777.5	6161732	0	27303970	0	0	8006064	0	0	0	11608740	0	11282866	11993598	0
"sp|L0R8F8|MIDUO_HUMAN"	"HUMAN"	1724674.8	0	0	0	0	0	7061971	0	0	0	18486670	6615228	2865606	10033362	0	1408732.9	2948323.5	0	27567516	960139.06	0	11870280	0	0
"sp|O00115|DNS2A_HUMAN"	"HUMAN"	19967430	24754674	168057730	179740660	24867764	63857948	234490610	170775730	70448984	92307410	15597542	110350904	80708220	194939680	183808590	97016170	175951650	56615456	176881660	172103360	62199990	183480260	175108460	56829940
"sp|O00116|ADAS_HUMAN"	"HUMAN"	1012825800	868747650	1051369860	970592260	1138400800	941768500	1419748500	841622140	861820800	1031806340	886107260	716908000	1567227000	625199740	1505096400	1645258600	791890100	1419974400	756560260	1092264600	758409900	1285061000	867587650	546980900
"sp|O00139|KIF2A_HUMAN"	"HUMAN"	509394460	426257920	351472060	378838820	513277250	441241570	376556160	375542820	490710880	416588300	427064640	250267300	651022000	462272500	478425200	445644100	514882140	465295500	424383400	679816450	516778430	510968160	475572580	253646820
"sp|O00148|DX39A_HUMAN"	"HUMAN"	18488584000	18680504000	19604322000	17198684000	19625036000	19401298000	20011112000	18459408000	18838307000	19823182000	18176014000	18699230000	22823672000	19230840000	19962274000	20074789000	18665210000	17505917000	18798311000	17267507000	18476270000	18432160000	20087510000	18062254000
"sp|O00151|PDLI1_HUMAN"	"HUMAN"	3861718000	2983978200	3788540200	4051221200	3202201300	3529144600	4310374000	3769233000	4111835000	3903446300	4322650600	3261440500	4835299300	4164285200	4710615600	4118452700	3802474500	3927659300	4143825400	3252407300	3933337600	4335925000	3480554000	2486161000
"sp|O00154|BACH_HUMAN"	"HUMAN"	1156780300	1241470200	1021311040	1181233900	1327586300	1102320400	1049646850	1170027400	1140528100	1212991000	1058016500	1014535300	1977272800	1326956800	1166964600	1313578600	1230996600	749919740	1136988900	1402762000	1307591300	1686064500	1185798300	1184348300
"sp|O00159|MYO1C_HUMAN"	"HUMAN"	0	0	0	0	4910896	0	5717484	0	3540688.8	0	2393371.5	0	0	0	3919976.8	1618661.4	0	0	0	0	0	0	0	0
"sp|O00161|SNP23_HUMAN"	"HUMAN"	357802180	376617570	2713530400	465138940	421059740	420072900	524397900	265193650	216582560	473139700	418439520	370919040	886168450	224500000	505393470	194887700	453795550	442192200	455842880	288074780	2264540200	1580754300	331322300	478138020
"sp|O00165|HAX1_HUMAN"	"HUMAN"	90537300	102326056	79532020	71870530	104290690	78810824	118809340	49789336	99483460	99566670	90923560	105368770	103193170	99170000	105905410	87151790	97894510	98102700	75757760	77889976	105270550	113742290	103207520	60946880
"sp|O00170|AIP_HUMAN"	"HUMAN"	494076860	560388400	474127900	574430700	663738600	592812540	596544900	543219650	434528540	610378300	632489200	550796500	739231360	609325500	578567360	690329540	503599460	368947700	531926240	587007400	621213760	596877630	453677540	570106560
"sp|O00178|GTPB1_HUMAN"	"HUMAN"	151284750	26803656	97085960	93338090	65491650	130522530	242724140	99053176	64296430	198559500	179169540	212624510	148718560	212911070	285738460	118767030	105869060	63966652	194480910	195976450	190923550	224802460	221054110	135243650
"sp|O00186|STXB3_HUMAN"	"HUMAN"	115043890	97255944	61589320	122624810	135137730	103459820	51213868	94312370	170718830	50317110	110096020	223633340	168655950	62047160	61949900	133856360	147594600	54001984	116896610	157084620	165337600	93862740	132828830	166969740
"sp|O00193|SMAP_HUMAN"	"HUMAN"	435359460	350781900	312952420	190494530	380584700	385903260	222064100	337983740	369049060	357530850	349810240	328487700	384717060	360061250	403796450	351775680	405998750	385479700	341650850	297705400	383485060	345601730	280039970	321826430
"sp|O00203|AP3B1_HUMAN"	"HUMAN"	142854770	318985020	316263740	825408700	369708130	326623870	354580480	911455200	338684740	287108860	885387100	303650850	795579800	476406460	738326900	275081400	640108600	379306240	387326430	358549470	290067070	715898750	299713340	333695500
"sp|O00214|LEG8_HUMAN"	"HUMAN"	45020516	68550230	117258020	21007680	22450014	77545330	14821450	20839546	108249176	71535336	65029890	22135342	13956812	60189896	28900808	0	261402400	35284950	21553436	18634118	47532976	74910720	16720954	34517960
"sp|O00217|NDUS8_HUMAN"	"HUMAN"	139669150	133214850	292293060	142915520	139752830	167215060	223129340	107061570	241668450	301710140	138426900	97867490	254800560	265797150	242932340	100287940	227101920	268863940	224666690	211493400	119243970	159346860	208823230	89267540
"sp|O00221|IKBE_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O00231|PSD11_HUMAN"	"HUMAN"	6731857000	10950773000	26932160000	13619354000	11784053000	7809810400	7586401300	25362080000	22943732000	28067658000	13170177000	13350026000	9100981000	7519880000	13026805000	7510713300	7401318400	13554683000	7220561400	6861525500	24257390000	27912251000	13486180000	12803444000
"sp|O00232|PSD12_HUMAN"	"HUMAN"	2281764400	1774061300	2169166600	2094606800	1635245300	2310464500	2341163500	1880570400	1824324500	2146680000	2094645800	1531657700	2454395000	2065693700	2332629000	2081700000	2401180700	2160718600	1891121400	2157772300	2553779500	2363594200	2007645200	2300904400
"sp|O00233|PSMD9_HUMAN"	"HUMAN"	683255100	875221000	618267650	634946300	549512770	815601700	877928700	739502500	839508200	620293900	401785440	734066700	841221060	1004991100	626891100	635875400	903055500	304047070	641158100	439962700	652432450	937202750	585663300	752688500
"sp|O00244|ATOX1_HUMAN"	"HUMAN"	460960450	501426000	519892130	507970340	491673900	418577600	471890660	443050620	529970370	466192320	474461220	452513300	681631740	553981760	581125600	543207400	489804380	505378430	417674050	426267170	316658340	435711330	538126340	457076540
"sp|O00255|MEN1_HUMAN"	"HUMAN"	0	0	0	0	0	11378776	0	26118040	16845674	13246601	0	0	0	24166892	0	5338110	24451812	26000262	23436094	0	0	9898464	0	0
"sp|O00264|PGRC1_HUMAN"	"HUMAN"	23951478	38822310	15620964	52104940	22233640	889806660	24769014	854093760	18071404	912291650	864588540	26062940	0	427678050	47498200	66805576	13418493	79846790	0	83145270	0	536887100	426136420	94583930
"sp|O00267|SPT5H_HUMAN"	"HUMAN"	2041759200	1756464800	1408044400	2268863200	2071920600	2403757000	2382662700	2502208800	2056058900	1797233900	1766836900	2112006700	2276887800	2045691100	1796113500	1990793000	1851073200	2019164000	1434220400	1591245700	2173239800	1880994700	1844952300	1592987900
"sp|O00268|TAF4_HUMAN"	"HUMAN"	0	6175722.5	0	0	0	0	0	0	0	11553279	91082584	0	0	0	0	0	0	9456691	2515774.8	0	10148125	0	3456870.8	0
"sp|O00273|DFFA_HUMAN"	"HUMAN"	620448100	853981060	1018196100	697630600	795907400	1238011100	919260500	696285900	861075900	986640060	295017700	752463940	741025700	1051527800	652815170	913496000	801296900	1163513300	662983550	556672400	737439170	1192201000	1111122200	515371780
"sp|O00291|HIP1_HUMAN"	"HUMAN"	12839786	0	27032260	0	0	0	22376602	7401638	0	6692022.5	6120441	0	14684330	0	29168350	7108568.5	21472650	0	0	0	27425682	0	7560243.5	0
"sp|O00299|CLIC1_HUMAN"	"HUMAN"	57256070000	44596183000	53141705000	53880197000	53897700000	55219270000	55378256000	55909474000	48440750000	58616770000	56104735000	53922013000	69114340000	53562590000	53200800000	55531725000	51731857000	57007915000	52445463000	52930860000	48271806000	57692115000	53850380000	54674584000
"sp|O00303|EIF3F_HUMAN"	"HUMAN"	2665450500	2451740400	2635370200	2680065500	2594100200	2417248800	2563346000	2792757200	2724397300	2638733800	2626021000	2333067800	3519056000	2478175200	2745322200	2567980800	2880249600	2272939000	2873056000	2703505400	2345111300	2681812000	2575432200	2770164000
"sp|O00308|WWP2_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	5419603.5	0	0	0	0	0	0	0	0	0	0	0
"sp|O00330|ODPX_HUMAN"	"HUMAN"	249177920	259407180	279168700	125891690	222151230	273052260	66443256	217482620	303506340	244575890	290843230	242757980	222477630	66880544	135998240	89508580	187230130	128811580	245380690	168920590	109750710	275525000	125277200	120290900
"sp|O00399|DCTN6_HUMAN"	"HUMAN"	0	0	37965468	71996536	30746174	0	0	0	47146396	83977180	42439504	0	93737510	33138138	0	0	0	0	34349500	0	0	0	0	0
"sp|O00410|IPO5_HUMAN"	"HUMAN"	3342099200	4027540200	3547496700	3505065500	3186974700	3546901000	3408069600	3221652700	3074067000	3595572000	4346602500	2684810200	4744338400	3043773700	4097711400	3700173800	3524703500	3332714200	3920615700	3283523600	2751734000	4081507300	3359807700	3160965000
"sp|O00411|RPOM_HUMAN"	"HUMAN"	100433864	24304838	111136104	24246264	48263144	104725760	110846600	0	52815868	113598580	3386307.2	605654.3	50842250	98544380	130378950	34279600	125420630	38769396	76109460	31947420	97814480	115845590	14376258	22804792
"sp|O00418|EF2K_HUMAN"	"HUMAN"	111667930	98704380	87954190	85858830	34798924	65698496	128743170	29259652	42376044	86693380	47442430	30908956	17511432	40842036	90145630	40563510	28244786	71977656	85885480	53755910	95883260	18893306	81131790	86471064
"sp|O00422|SAP18_HUMAN"	"HUMAN"	708278400	1029957440	1481645800	771849800	1410745200	1646319500	1129923100	714218800	942262850	1732160900	1016407700	903926400	1046943400	1477235600	1353770200	272543780	1556045300	1263918500	1037006400	884313200	1557257600	1773178000	1700604900	605770600
"sp|O00425|IF2B3_HUMAN"	"HUMAN"	2178655700	1729252900	2088417000	2209640000	1968372400	2227006700	2067707000	1975777800	2850732000	2261738000	1820233900	1723095700	3458580000	2305753300	2164474000	2307577300	2916739600	2165263600	1920996700	2336192800	2605001500	2037005700	2097301100	1584649500
"sp|O00429|DNM1L_HUMAN"	"HUMAN"	1326141600	1200627500	1301723600	1353606800	1168074800	1345186200	1240144000	1000537900	1271322900	1436234800	1354979000	1581349600	1379025700	1393511000	1500158500	1383218800	1202887700	1161367200	1302318100	1287929300	1214766700	1303725600	1413038600	1411088000
"sp|O00442|RTCA_HUMAN"	"HUMAN"	236464060	283731300	267795150	214203620	257154370	311931700	290846400	209009630	268578140	285576700	318980800	162782910	446567940	336557120	430776860	196699440	343130180	199334800	183101570	132674780	285100400	321665760	280543650	136361420
"sp|O00443|P3C2A_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	1950873	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O00459|P85B_HUMAN"	"HUMAN"	0	495954.8	3040939	0	0	0	0	0	0	0	5881188	8239375	0	0	5235496	5627862.5	0	41830696	0	7461100.5	0	3248106.5	7177385	0
"sp|O00461|GOLI4_HUMAN"	"HUMAN"	15177748	0	0	0	0	0	10853636	0	19858114	14999501	21331138	0	0	0	22544512	0	0	32375888	0	0	6464893	0	17408362	42153330
"sp|O00470|MEIS1_HUMAN"	"HUMAN"	0	0	11238466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O00471|EXOC5_HUMAN"	"HUMAN"	22162544	19779796	41720480	16605901	10605277	30812162	21119020	0	45494588	283655580	10890738	28596004	32002024	45821348	9379218	20800680	24563824	30919124	5976182	8078717.5	29187694	44747324	37125616	29771144
"sp|O00479|HMGN4_HUMAN"	"HUMAN"	3733575	2851091.5	12428882	16613950	2579288.8	11838885	17129568	16353501	3180859.2	13371805	19104150	17575838	0	12623580	0	16367368	0	12948947	14033402	0	0	0	13810849	15621554
"sp|O00483|NDUA4_HUMAN"	"HUMAN"	690062460	356370100	582954430	692260030	620042100	678510500	613602300	659951740	547842200	655605100	392417100	767894140	623420300	634357400	579202940	649555650	385775940	387497200	659810750	323454430	346166340	657837900	626381440	344969100
"sp|O00487|PSDE_HUMAN"	"HUMAN"	1578727000	1476204400	2620373000	2754153000	1579938400	1654166000	2222254800	2362364200	1642202900	2469102600	2428640000	1873728400	1801021000	1768114800	2452637200	2131223900	1576900200	1777792000	1987668400	2201253000	1503889300	1920538800	2075234000	2129151500
"sp|O00488|ZN593_HUMAN"	"HUMAN"	0	0	0	3014290	0	0	0	0	0	0	0	28364670	203267060	0	0	0	0	0	0	0	11127491	0	7710547	0
"sp|O00505|IMA4_HUMAN"	"HUMAN"	552904400	66642296	417479840	784717100	646161540	212596960	741200640	836896800	221070050	339280700	801062000	827017500	470294850	218627570	364056580	768197250	707346700	342179840	344791420	788064700	666710660	238996600	362902700	409677600
"sp|O00506|STK25_HUMAN"	"HUMAN"	4797259	0	0	0	6974049.5	0	6774493	0	4185734.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8005126.5
"sp|O00507|USP9Y_HUMAN"	"HUMAN"	65671036	0	0	0	0	0	0	0	0	0	21214280	0	0	23103584	0	0	0	0	21170940	0	0	0	21731250	0
"sp|O00541|PESC_HUMAN"	"HUMAN"	1227047600	868886900	977514800	1065424500	853718660	977011500	1137503500	833510200	1000408300	1080063500	1254337300	970168640	878662460	1155438600	1196635500	1047229700	1010015000	898549760	1086606600	1021474560	1243336600	1017121340	994852700	930142200
"sp|O00560|SDCB1_HUMAN"	"HUMAN"	70731610	92194376	49940440	50193104	52939390	48634860	44923668	82352370	102484240	86371520	44975816	51644812	123786430	29257422	82829840	55520256	99640450	59957960	36631084	82083176	73158660	68757360	57391960	85827610
"sp|O00566|MPP10_HUMAN"	"HUMAN"	1225394700	1129872800	829018300	1042291840	1171790300	1040984300	995321100	808040060	588257100	774281800	864196160	992757300	1119215900	504881300	805288000	1057476200	754810750	512130700	827315800	1040046700	774868300	837673540	1096672400	647294000
"sp|O00567|NOP56_HUMAN"	"HUMAN"	614114240	634956540	713243260	645155400	681860100	627233340	784146500	839471940	695600000	724346240	554111900	731290600	965410100	742841300	776378600	366849150	766428800	668495700	579951040	538820800	680140740	698520100	700790100	353152260
"sp|O00571|DDX3X_HUMAN"	"HUMAN"	9260836000	9417330000	10170917000	12213191000	10592298000	10103998000	12555691000	10440782000	9504607000	11058099000	12350466000	10775202000	10644141000	10230956000	10807358000	10619272000	9565676000	10125196000	10134955000	9657871000	8466411500	11248317000	10038478000	10151986000
"sp|O00584|RNT2_HUMAN"	"HUMAN"	140940720	74986180	164815800	58608200	134942700	144680200	54669340	159196020	128146940	131621760	48648490	17860280	195749000	115636590	66891170	126658400	74812310	119022180	154554540	111138940	136926140	130239736	124969310	213315820
"sp|O00625|PIR_HUMAN"	"HUMAN"	0	19372826	25796010	0	24651890	20402432	32440042	0	0	9033956	30434576	5773303	22034510	9719710	29025208	0	26589142	0	0	0	19965716	24472840	0	6305331
"sp|O00629|IMA3_HUMAN"	"HUMAN"	1816309000	2019963900	2129990800	1853977600	2055538800	2192447500	2038567300	3851434500	1834210800	1928934100	2132267800	3835289900	2656941300	2092662500	2241776400	3741240000	2107701500	2067837200	2224472600	2057187700	1871442400	2266027300	3908240000	3612749600
"sp|O00635|TRI38_HUMAN"	"HUMAN"	0	0	0	0	0	0	0	0	0	0	0	0	0	6893874	0	0	0	0	0	0	0	0	2631055.2	0
"sp|O00716|E2F3_HUMAN"	"HUMAN"	0	0	14906678	0	0	0	0	0	0	0	0	0	0	12012846	0	0	9380992	0	0	0	0	15110471	0	13177723
"sp|O00743|PPP6_HUMAN"	"HUMAN"	148372380	267512540	239408400	138136130	137664420	319214140	298355100	180724620	142180930	248066050	221580450	172438780	134984080	206547900	329565380	34179572	167688000	119902260	37519310	201835310	158909570	292481440	230615140	65421176
"sp|O00754|MA2B1_HUMAN"	"HUMAN"	0	0	47507184	0	0	0	0	0	0	770635.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sp|O00764|PDXK_HUMAN"	"HUMAN"	766147140	687585600	614848060	550350900	732229400	667836300	602188860	806055100	769378560	685413250	621156160	479847170	961921000	677677630	515471420	564199800	737157100	583924160	785544400	581564200	574383400	831318000	757415300	589868200
"sp|O00767|SCD_HUMAN"	"HUMAN"	13427281	0	9671216	0	18193302	9170621	0	0	0	0	0	0	0	0	0	0	13284684	0	0	0	8855991	12450547	0	0
"sp|O14497|ARI1A_HUMAN"	"HUMAN"	854829600	690600960	977643140	701362370	827866500	672290800	1369209700	1283312100	971516740	1459934600	1525344400	601704000	745530300	783711940	1256687500	1479359000	748480200	1286563300	1247391600	1729193900	1330050000	1254085000	1514944800	673913000
"sp|O14519|CDKA1_HUMAN"	"HUMAN"	36924836	0	0	0	0	0	0	0	0	0	0	0	20942564	50076410	40368696	0	0	46786110	48253440	0	31926140	45911340	58610510	54745784
